amount_of_players;round_result;MO;bank;real_x
21;116.36;1.921;263.24;1.04
21;234.74;1.917;234.74;1.08
21;147.42;1.913;151.29;1.87
23;-16.48;1.913;132.17;2.38
24;-1.85;1.915;55.37;1.35
24;159.01;1.913;184.73;3.0
20;-385.13;1.918;317.41;1.79
22;16.94;1.917;59.94;3.0
23;-124.84;1.922;161.62;1.04
24;99.99;1.918;102.52;1.0
22;123.81;1.914;123.81;1.06
25;175.6;1.91;181.55;1.74
21;47.64;1.909;64.57;1.17
23;272.01;1.906;278.51;1.0
25;436.22;1.903;436.22;1.11
23;98.08;1.899;111.07;1.51
26;8.72;1.897;91.78;3.0
21;-97.06;1.902;62.64;2.28
21;37.91;1.904;108.68;1.0
21;169.7;1.9;169.7;3.0
23;-32.72;1.905;55.4;1.14
24;159.87;1.901;160.46;3.0
23;-97.38;1.906;171.75;2.33
27;-14.05;1.907;71.59;1.47
24;50.48;1.906;70.54;1.07
24;78.47;1.902;84.24;1.05
26;76.02;1.899;79.98;3.0
22;-299.37;1.904;324.27;1.86
21;14.25;1.904;58.53;1.6
22;29.66;1.902;92.26;1.04
26;153.82;1.899;153.82;1.83
23;20.71;1.898;54.87;1.42
25;82.68;1.896;155.97;1.06
24;99.27;1.893;102.93;1.0
25;138.41;1.89;138.41;1.12
24;61.42;1.887;96.59;1.33
25;69.86;1.884;81.66;1.62
23;33.29;1.883;53.6;1.65
25;22.87;1.882;66.89;3.0
23;-203.79;1.887;414.51;3.0
24;-264.36;1.891;153.42;1.46
22;40.87;1.889;50.23;2.25
21;14.02;1.89;74.95;1.04
23;144.95;1.887;144.95;1.01
21;138.64;1.884;138.64;1.9
22;20.56;1.884;73.15;2.51
22;-17.49;1.886;72.95;1.48
22;58.38;1.885;388.34;3.0
22;-50.52;1.889;57.09;1.61
21;17.28;1.888;47.54;1.06
24;76.27;1.885;83.14;1.26
22;46.94;1.883;57.76;1.71
22;-17.24;1.882;99.48;2.73
25;7.34;1.885;65.04;1.5
19;21.07;1.884;31.55;1.63
25;54.7;1.883;69.62;2.35
22;8.27;1.884;84.13;1.03
23;232.79;1.881;243.18;3.0
22;-40.99;1.885;51.49;2.4
25;317.95;1.887;381.56;1.07
22;58.27;1.884;61.41;1.97
